new_password,Neues Passwort,
news,News ,
not_specified,Keine Angaben ,
or_about,ODER &Uuml;BER ,
our_categories,Kategorien,
our_main_site_pages,Seiten&uuml;bersicht,
our_newsletter,UNSER NEWSLETTER ,
our_partner,Unsere partner ,
password,Passwort ,
pay_with_mastercard,Mit MasterCard bezahlen,
pay_with_postfinance_card,Mit PostFinance Card bezahlen,
pay_with_postfinance_e-finance,Mit PostFinance E-Finance bezahlen,
pay_with_visa,Mit Visa bezahlen,
permalink,Permalink ,
place_order_now,Jetzt bestellen ,
price,Preis ,
proceed_to_checkout,zur Kasse gehen ,
product_description,Produktbeschreibung ,
product_details,Produktdetails,
product,PRODUKTE ,
products,Produkte ,
quality,Qualit&auml;t ,
quantity,Menge ,
registration,Registrieren ,
report_abuse,Missbrauch melden ,
report_review,Kundenmeinung melden,
review_your_order,Bestell&uuml;bersicht ,
review,KUNDENMEINUNG ,
reviewed_on,Bewertet am,
reviews_of,Meinung zu ,
reviews,Kundenmeinungen ,
sale,Ausverkauf ,
search,Suche ,
search_price,Anwenden,
share,Teilen ,
shipping_cost,VERSANDKOSTEN,
shipping_terms,Lieferkonditionen ,
shipping,VERSAND,
shop_now,Zum Angebot ,
short_description,Produktbeschreibung ,
sie_erreichen_uns,sie_erreichen_uns,
sign_in,ANMELDEN ,
sitemap,Sitemap,
size,Gr&ouml;sse ,
facebook_error,Leider konnte Ihr Facebook-Vorname nicht abgerufen werden. Bitte versuchen Sie es erneut.,
spendenkonto,Bank,
subscribe,Abonnieren ,
swiss_section,Schweizer Sektion ,
table_rate,Lieferkosten ,
team,Team ,
terms,AGB ,
text_behind_date_of_birth_in_registration,(Profitieren Sie von exklusiven Geburtstags-Angeboten) ,
thank_you_for_registering_with_amnesty_international.,Vielen Dank f&uuml;r Ihre Registrierung bei Amnesty International.,
there_are_no_recurring_profiles_yet.,Es liegen noch keine wiederkehrenden Profile vor. ,
to,bis,
total,Gesamtbetrag ,
value,Leistung ,
vat_inclueded,inkl. MwSt. ,
was_this_review_helpful,War die Bewertung hilfreich? ,
we_have_successfully_subscribed_to_our_newsletter.,Wir haben Sie erfolgreich f&uuml;r unseren Newsletter angemeldet. ,
weight,GEWICHT,
why_do_you_want_to_report_this_review,Warum m&ouml;chten Sie diese Kundenmeinung melden?,
write_your_review,Schreiben Sie Ihre Kundenmeinung,
yes,Ja ,
you_are_currently_not_subscribed_to_any_newsletter.,Sie haben unseren Newsletter noch nicht abonniert. ,
you_can_connect_store_account_with_your_facebook_account_so_you_could_login_easier_in_the_future.,Sie k&ouml;nnen sich hier mit Ihrem Facebook-Konto registrieren.,
you_can_connect_store_account_with_your_google_account_so_you_could_login_easier_in_the_future.,Sie k&ouml;nnen sich hier mit Ihrem Google-Konto registrieren.,
you_can_register_with_your_facebook_account_here.,Sie k&ouml;nnen sich hier mit Ihrem Facebook-Konto registrieren.,
you_can_register_with_your_google_account_here.,Sie k&ouml;nnen sich hier mit Ihrem Google-Konto registrieren.,
you_have_abused_this_review,Ihre Bewertung wurde als Missbrauch gemeldet. ,
you_have_not_set_a_default_billing_address.,Sie haben keine Rechnungsadresse hinterlegt. Adresse bearbeiten. ,
you_have_not_set_a_default_shipping_address.,Sie haben keine Versandadresse hinterlegt. Adresse bearbeiten.,
you_save,Sie sparen ,
your_review_would_be_voted_by_others,your_review_would_be_voted_by_others,
your_shopping_cart_is_empty,Ihr Warenkorb ist noch leer,
